5 0.037 0.039 1.068
7 0.046 0.048 1.082
20 0.217 0.222 1.314
24 0.212 0.216 1.293
45 0.482 0.494 1.636
51 0.496 0.507 1.652
80 0.821 0.841 2.081
88 0.783 0.81 2.073
125 1.208 1.253 1.63
135 1.337 1.393 1.821
180 1.625 1.716 2.239
192 1.624 1.73 2.276
245 1.979 2.167 2.866
259 1.954 2.116 2.84
320 2.251 2.498 3.473
336 2.327 2.59 3.872
405 2.905 3.249 4.696
423 3.036 3.448 5.15
500 3.411 3.938 5.764
520 3.586 4.141 6.023
605 3.974 4.582 7.137
627 3.838 4.433 6.719
720 4.419 5.396 8.099
744 4.333 5.296 7.993
845 4.202 5.306 9.382
871 4.805 6.04 10.146
980 5.146 6.577 11.34
1008 5.504 7.074 12.228
1125 5.612 7.223 13.052
1155 5.551 7.497 13.635
1280 6.09 8.149 18.031
1312 6.664 8.889 19.134
1445 7.679 10.504 24.212
1479 8.353 11.681 23.596
1620 8.948 12.958 27.612
1656 8.769 12.663 30.91
1805 11.875 16.762 36.134
1843 12.973 18.514 38.49
2000 15.695 21.735 54.021
2040 15.921 22.354 55.338
2205 16.454 26.317 65.426
2247 14.795 25.955 68.128
2420 28.147 41.331 90.677
2464 24.072 39.545 84.491
2645 37.072 155.446 219.728
